"Ref";"Cláusula / Item";"Origem";"Categoria";"Entra no motor";"Dependências";"Inputs necessários";"Outputs gerados";"Observações"
"Cl.59";"Assistência em casa (home standby)";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"SEM pagamento variável. Report 90 min."
"Cl.60";"Pagamento por dia de férias";"AE";"DERIVED";"Sim";"Setor nominal (Anexo I.3), Cl.72";"Dias de férias gozados";"2 × NS por dia de férias";"Além do salário mensal."
"Cl.61";"Complemento de doença (sick pay)";"AE";"DERIVED";"Sim";"Base diária";"Dias de baixa (>3), elegibilidade SS";"45% da base diária após 3 dias (máx 90d/12m)";"Depende da Segurança Social."
"Cl.62";"Abono para benefícios";"AE";"CORE";"Sim";"Anexo I.6";"Data";"€336/ano → €425 (Abr-2025)";"Valor fixo anual."
"Cl.63";"Bónus anual";"AE";"VISUAL";"Não";"Base + KPIs";"KPIs/PBT, desempenho";"~2 semanas de base (alvo)";"Condicional (não determinístico). Só estimativa indicativa."
"Cl.64";"Estacionamento";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.65";"Pagamento por língua";"AE";"CORE";"Sim";"Anexo I.5";"Nº de línguas reconhecidas";"€350 (3ª) + €50/adicional, 14 prestações";"PT é requisito-base (não paga)."
"Cl.66";"Alteração de escala curta antecedência (SNC)";"AE";"DERIVED";"Sim";"Anexo I.10";"Eventos SNC qualificáveis";"€20 / evento";"Desde Abr-2024. Pode ser revogado (solução de rede)."
"Cl.67";"Pagamento de irregularidade de escala (RDP)";"AE";"DERIVED";"Sim";"Setor nominal (Anexo I.11)";"Eventos RDP (≥119 min)";"1 × NS ou piso €18 (FA) / €23 (CM)";"Condições de elegibilidade (ASBY, códigos)."
"Cl.68";"Trabalhar/Infringir dia de descanso (DDO/IDO)";"AE";"DERIVED";"Sim";"Anexo I.12/13";"Dia de descanso trabalhado/infringido";"DDO €115; IDO €140";"Desde Fev-2024."
"Cl.69";"Trabalho em dia de descanso (WFLY)";"AE";"DERIVED";"Sim";"Base anual (Anexo I.14)";"Dias WFLY";"1% da base anual";"Desde Fev-2024."
"Cl.70";"Trabalho em terra (office)";"AE";"DERIVED";"Sim";"Setor nominal (Anexo I.9)";"Dias de trabalho em terra";"3 × NS";"Quando não há per diem nem posicionamento."
"Cl.71";"Pagamento durante a gravidez";"AE";"DERIVED";"Não (parcial)";"Remuneração tributável/não tributável";"Tipo de risco, splits fiscais SS";"Top-up 35% / 100%";"Complexo (splits SS). Difícil de modelar com precisão."
"Cl.72";"Direito a férias anuais";"AE";"CORE";"Sim";"—";"Antiguidade, contrato";"Nº de dias de férias (25; 26 se ≥5 anos; pro-rata)";"Alimenta Cl.60 (contagem de dias)."
"Cl.73";"Ano do gozo das férias";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Ciclo abr–mar."
"Cl.74";"Marcação do período de férias";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.75";"Alteração/interrupção, doença em férias";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.76";"Dias de descanso circundantes (WD/O)";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"0/2/3 dias conforme bloco de férias."
"Cl.77";"Dias de descanso garantidos (GDO)";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Até 24/ano."
"Cl.78";"Tipo básico de escalas (FRV122 / 5453)";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Padrão de escala. 5453 pago 100% + férias completas. Não é cálculo AE."
"Cl.79";"Estabilidade da escala";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.80";"Trabalho a tempo parcial";"AE";"CORE";"Sim";"Base anual";"% part-time (50/75 fixo/sazonal)";"Pro-rata base + férias (13/19/17/21)";"Fator de contrato (tabela). Cap 7%→9,5%→12% FTE."
"Cl.81";"Publicação da escala";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Publicada até dia 17."
"Cl.82";"Roster Forum";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Representantes recebem pagamento (não especificado no AE)."
"Cl.83";"Períodos de ausência (estatutários)";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.84";"Tipo de faltas";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.85";"Comunicação de ausência";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.86";"Faltas justificadas";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.87";"Faltas injustificadas";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Perda de remuneração ou troca por dias de férias (1:1)."
"Cl.88";"Faltas por doença";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Liga ao complemento de doença (Cl.61)."
"Cl.89";"Estatuto trabalhador-estudante";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.90";"Direitos parentais";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.91";"Maternidade e regresso";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Suspende retribuição na gravidez (liga a Cl.71)."
"Cl.92";"Denúncia (resignação)";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Aviso 30/60 dias."
"Cl.93";"Procedimentos disciplinares";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.94";"Suspensão do exercício de funções";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Remunerada."
"Cl.95";"Disposições finais";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Reconhecimento de antiguidade na rede (futuro)."
"Cl.96";"Regras e regulamentos da empresa";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.97";"Versões e lei aplicável";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Versão PT prevalece; tribunais PT."
"Anx.1";"Remuneração base (€)";"Anexo I";"CORE";"Sim";"—";"Categoria, data (Fev24/Fev25/Nov25)";"Base anual ilíquida";"Tabela-RAIZ. Ex.: FA Nov-25 €18.852; CM €23.198."
"Anx.2";"Setor nominal (€)";"Anexo I";"CORE";"Sim";"—";"Categoria, data";"Valor do setor nominal (NS)";"RAIZ de TODOS os pagamentos por setor. Ex.: FA Nov-25 €21.00; CM €32.50."
"Anx.3";"Pagamento por dia de férias";"Anexo I";"DERIVED";"Sim";"NS (Anx.2)";"Dias de férias";"2 × NS / dia";"= Cl.60."
"Anx.4";"Abono para falhas";"Anexo I";"DERIVED";"Sim";"Base anual (Anx.1)";"Base anual";"5% base anual / mês";"= Cl.54. Regra própria p/ intermitente."
"Anx.5";"Pagamento por língua";"Anexo I";"CORE";"Sim";"—";"Nº de línguas";"€350 (3ª) + €50/adicional";"= Cl.65."
"Anx.6";"Abono para benefícios";"Anexo I";"CORE";"Sim";"—";"Data";"€336 → €425 (Abr-2025)";"= Cl.62."
"Anx.7";"Pernoitas";"Anexo I";"CORE";"Sim";"—";"Noites fora da base, data";"€38 → €46";"= Cl.56."
"Anx.8";"Assistência no aeroporto";"Anexo I";"DERIVED";"Sim";"NS (médio)";"Cenário ASBY";"1–2 setores médios (+ per diem)";"= Cl.58."
"Anx.9";"Trabalho em terra (office)";"Anexo I";"DERIVED";"Sim";"NS";"Dias de trabalho em terra";"3 × NS";"= Cl.70."
"Anx.10";"SNC";"Anexo I";"DERIVED";"Sim";"—";"Eventos SNC";"€20 / evento";"= Cl.66."
"Anx.11";"RDP";"Anexo I";"DERIVED";"Sim";"NS";"Eventos RDP";"1 × NS ou €18 (FA) / €23 (CM)";"= Cl.67."
"Anx.12";"DDO (trabalhar em dia de descanso)";"Anexo I";"DERIVED";"Sim";"—";"Dia de descanso trabalhado";"€115";"= Cl.68."
"Anx.13";"IDO (dia de descanso infringido)";"Anexo I";"DERIVED";"Sim";"—";"Dia de descanso infringido";"€140";"= Cl.68."
"Anx.14";"WFLY";"Anexo I";"DERIVED";"Sim";"Base anual (Anx.1)";"Dias WFLY";"1% base anual";"= Cl.69."
"Anx.15";"Upranker";"Anexo I";"DERIVED";"Sim";"—";"Setores como Upranker, data";"€14.56 → €16.27 / setor";"= Cl.34."
"Anx.16";"Responsabilidades adicionais (CCLT / CTI-Flexi)";"Anexo I";"DERIVED";"Sim";"NS";"Dias CCLT / atividade CTI";"CCLT €25/dia; CTI-Flexi 4 × NS";"= Cl.35."
"Anx.17";"Pagamento por dias de recrutamento";"Anexo I";"DERIVED";"Sim";"NS";"Dias de recrutamento";"4 × NS";"Categoria Chefe de Cabine."
"Anx.18";"Posicionamento (tabela)";"Anexo I";"CORE";"Sim";"—";"Categoria, banda de distância, data";"€ por posicionamento";"= Cl.57. Tabelas Fev24 / Fev25 / Nov25."
"Anx.Occ";"Pagamentos pontuais (COVID / Custo de Vida / Transição FAO)";"Anexo I";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"One-offs históricos (ref. 27-Nov-2023, pagos em 2024). NÃO fazem parte do motor recorrente."
